# N_orders   Poly_order   Adaptive?  Aperture_size_in_FWHM
# Order_numb   Xcent  Ycent  C(0) C(1) ... C(p) Cfwhm(0) Cfwhm(1) ... Cfwhm(p)
# If FWHM is fixed, Cfwhm is replaced by a single value of the median FWHM
23	2	False	1.6
0	1372.500	58.065	4.7495097592224116e-05 -0.22049353731602583 271.2229052521513	9.91
1	1372.500	91.526	4.767324889636913e-05 -0.22051927798069296 304.38419680750394	8.50
2	1372.500	125.895	4.774578948163557e-05 -0.22021282624138558 338.19571667848027	7.32
3	1372.500	161.174	4.785122461050048e-05 -0.21991750267871163 372.87049291848587	6.44
4	1372.500	197.381	4.801438125419846e-05 -0.21977380813608133 408.5733005567906	5.89
5	1372.500	234.622	4.819405906303849e-05 -0.21961044300396967 445.25134840905145	5.52
6	1372.500	272.942	4.841491107445469e-05 -0.21952347579156692 483.0363548214757	5.36
7	1372.500	312.416	4.865797573185649e-05 -0.2194168992668508 521.9061144501846	5.36
8	1372.500	353.121	4.8914307711497524e-05 -0.2193031782848579 561.9722494146164	5.36
9	1372.500	395.122	4.918313331741506e-05 -0.21917522141601994 603.2906156810885	5.39
10	1372.500	438.481	4.947006493079144e-05 -0.21903392071495345 645.915578527356	5.46
11	1372.500	483.268	4.977335867168745e-05 -0.21889411036567577 689.9396252499847	5.56
12	1372.500	529.562	5.0069943475728754e-05 -0.2186785557113998 735.3786033838697	5.65
13	1372.500	577.426	5.0382367372550607e-05 -0.2184525187293202 782.3442737648197	5.69
14	1372.500	626.935	5.07061685231167e-05 -0.21820989841605754 830.910317013228	5.70
15	1372.500	678.169	5.1037449884788785e-05 -0.21793142367871413 881.1374513207309	5.67
16	1372.500	731.196	5.138904762705087e-05 -0.21765455594944355 933.1220330384592	5.60
17	1372.500	786.141	5.174261839280404e-05 -0.2172919759714775 986.9037997242164	5.55
18	1372.500	843.119	5.2170915868409226e-05 -0.21701309329564605 1042.69250322677	5.54
19	1372.500	902.310	5.258662386743442e-05 -0.21662332734584822 1100.564974426935	5.62
20	1372.500	963.766	5.303920986340513e-05 -0.2162955014965214 1160.71813494025	5.83
21	1372.500	1027.578	5.3529802739652266e-05 -0.2160004655677776 1223.2015753079093	6.31
22	1372.500	1093.900	5.400346692100017e-05 -0.2155980017814056 1288.0791484796334	7.28
